Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Affirm,Fintech / BNPL and Payments,"San Francisco, CA",,,203,4,0,0,1,"4 code-review-relevant open roles (1 application security, 3 staff platform) of 203 on the board: Product Security Engineer II; Senior Staff Software Engineer, Frontend (Web Infra); Staff Software Engineer, Backend (Lake Analytics Platform) | Expansion: Affirm has applied to the FDIC and the Nevada Financial Institutions Division for an industrial loan company charter to stand up Affirm Bank, and","Affirm is standing up a chartered bank while running one of the largest distributed backend and platform hiring pushes on any public fintech board, including a Staff Software Engineer for Continuous Integration and three Product Security Engineer reqs. A de novo bank charter means every code path touching money movement and ledger now has to produce examiner-grade review evidence, and hiring reviewers is the slowest way to get it.",https://job-boards.greenhouse.io/affirm
Harvey,AI for Legal and Professional Services,"San Francisco, CA",,"$200M, Mar 2026, with GIC, Sequoia and Kleiner Perkins leading, at an $11B valuation",381,10,1,0,1,"10 code-review-relevant open roles (2 developer experience, 3 application security, 5 staff platform) of 381 on the board: Senior Software Engineer, Developer Experience; Staff Software Engineer, Developer Experience; Head of Product Security | Funding: $200M, Mar 2026, at an $11B valuation | Expansion: the Hexus team joined Harvey in Jan 2026, and the CTO stated the company is hiring engineers in San Francisco, New York, Toronto and Bengaluru","Harvey is running 382 open roles across four engineering locations on three continents and is hiring two separate Developer Experience engineers plus a Head of Product Security. When a codebase is being extended simultaneously from San Francisco, New York, Toronto and Bengaluru, review turnaround becomes a timezone problem before it becomes a headcount problem.",https://api.ashbyhq.com/posting-api/job-board/harvey
Replit,AI Developer Tools,"Foster City, CA",,"Series D, $400M, Mar 2026, led by Georgian, at a $9B valuation",87,7,1,0,1,"7 code-review-relevant open roles (1 developer experience, 1 application security, 5 staff platform) of 87 on the board: Software Engineer, Developer Experience; Product Security Engineer (PSIRT - Product Security Incident Response Team); Principal Software Engineer, Money Infrastructure | Funding: Series D, $400M, Mar 2026, at a $9B valuation | Expansion: standing up an SRE function in Remote Europe and a new Money and payments engineering group alongside the enterprise platform build-out","Replit raised $400M in March and is now building three new engineering surfaces at once: an enterprise platform, a Money and payments org, and a European SRE presence, on top of the agent platform. They also opened a dedicated Product Security Incident Response role, which means code risk has already become someone's full-time job rather than a shared concern.",https://api.ashbyhq.com/posting-api/job-board/replit
Fivetran,Data Integration and Analytics Platform,"Oakland, CA",,No new raise verified in the last 12 months; the dbt Labs combination was an all-stock transaction,188,5,0,0,1,"5 code-review-relevant open roles (3 developer experience, 2 staff platform) of 188 on the board: Senior Full Stack Engineer - Developer Productivity; Senior Software Engineer - Developer Productivity; Staff Software Engineer - Developer Productivity | Expansion: merger with dbt Labs completed Jun 1, 2026, with dbt Core v2.0 and the Fusion engine shipped at close, and roles now posted at a dbt Austin site","Fivetran closed the dbt Labs merger on June 1 and is now merging two mature codebases while shipping a new open-source engine, and the hiring reflects it: three separate Developer Productivity reqs plus an Engineering Manager for Automations and Internal Tooling. Two engineering orgs learning each other's code is the single hardest review environment there is, and they are staffing for it right now.",https://boards-api.greenhouse.io/v1/boards/fivetran/jobs
Grafana Labs,Observability and Developer Infrastructure,"New York, NY",,"New investors added alongside $400M ARR milestone, Sep 2025 (company press release); a further round at a reported $9B valuation was covered in Feb 2026 but is not company-confirmed",156,4,1,0,1,"4 code-review-relevant open roles (1 developer experience, 3 staff platform) of 156 on the board: Software Engineer - Platform Productivity; Staff Backend Engineer - Grafana App Platform; Staff Software Engineer - Databases SRE | Funding: new investors added at the $400M ARR mark, Sep 2025 | Expansion: the same reqs are posted across the US, Canada, UK, Ireland, Germany, Spain and Sweden, and the Sep 2025 release frames the capital as funding","Grafana is hiring a full platform-productivity and internal-tooling function at the same time it staffs Staff Backend Engineers across six product areas, which is what an org looks like right before review throughput becomes the constraint. A distributed, seven-country remote engineering org reviewing across Loki, Tempo, Pyroscope and the app platform is exactly where asynchronous review latency gets expensive.",https://boards-api.greenhouse.io/v1/boards/grafanalabs/jobs
ClickHouse,Data Infrastructure,"San Francisco, CA",,"Series D, $400M, Jan 2026, led by Dragoneer",174,1,1,0,1,"1 code-review-relevant open roles (1 application security) of 174 on the board: Senior Product Security Engineer | Funding: Series D, $400M, Jan 2026, led by Dragoneer | Expansion: acquired Langfuse and launched a native Postgres service alongside the round, Jan 2026","ClickHouse took $400M in January and immediately opened two brand new engineering surfaces at once, a native Postgres service and the acquired Langfuse codebase, while hiring Principal and Senior engineers specifically for Postgres. Merging an outside codebase and standing up a new transactional engine in parallel is precisely when review depth and regression risk stop scaling with the team.",https://boards-api.greenhouse.io/v1/boards/clickhouse/jobs
Decagon,AI Agents for Customer Experience,"San Francisco, CA",,"Series D, $250M, Jan 2026, co-led by Coatue and Index Ventures, at a $4.5B valuation",128,2,1,0,1,"2 code-review-relevant open roles (1 developer experience, 1 staff platform) of 128 on the board: Senior Software Engineer, AI Developer Experience; Staff Software Engineer, Agent Platform | Funding: Series D, $250M, Jan 2026, at a $4.5B valuation | Expansion: agent platform, agents and data infrastructure reqs are duplicated across San Francisco and New York City, indicating a second engineering location","Decagon tripled its valuation in January and is now running the same agent platform and infrastructure reqs in both San Francisco and New York, which means review is about to cross a coast boundary. They are also hiring two Platform Security engineers and an AI Developer Experience engineer, so both code risk and internal developer throughput are already funded line items.",https://api.ashbyhq.com/posting-api/job-board/decagon
Netskope,Cloud and Network Security (SASE),"Santa Clara, CA",,"IPO, Nasdaq NTSK, 18 Sept 2025, priced at $19.00 per share, approximately $908M raised at roughly a $7.3B pricing valuation",143,2,1,0,0,"2 code-review-relevant open roles (1 developer experience, 1 application security) of 143 on the board: Principal Engineer, Engineering Productivity; Sr. Manager, Information Security  -  Application Security & Red Team | Funding: IPO on Nasdaq 18 Sept 2025, approximately $908M raised","Netskope is hiring a Senior Manager for Application Security and Red Team alongside a Principal Engineer for Engineering Productivity, less than a year after its Nasdaq IPO. Post-IPO, delivery metrics and security findings become reportable numbers, and a security vendor whose own code ships from Santa Clara, Toronto, Bengaluru, Taipei and Manila has an obvious review-consistency problem to solve.",https://boards.greenhouse.io/netskope
Vanta,Security and Compliance Automation (GRC),"San Francisco, CA",,,85,1,0,0,0,"1 code-review-relevant open roles (1 developer experience) of 85 on the board: Senior Software Engineer, Developer Experience","Vanta is hiring two Core Platform engineering managers, two Reporting engineering managers and a Staff Software Engineer for GRC at once, across US, Canada and London. A company whose product is audit evidence has to hold its own code to the standard it sells, and four simultaneous EM hires means four new review cultures forming in parallel.",https://jobs.ashbyhq.com/vanta
CLEAR Secure,Identity Verification / Secure Credentialing,"New York, NY",,,39,1,0,0,0,"1 code-review-relevant open roles (1 application security) of 39 on the board: Senior Product Security Engineer","CLEAR is hiring two engineering directors, an infrastructure engineering manager and a Senior Product Security Engineer at the same time, while extending its identity platform into healthcare and B2B under CLEAR1. Adding review capacity through two new director orgs is exactly when review consistency and security findings start slipping, and CLEAR handles biometric and PII data where that slip is expensive.",https://boards.greenhouse.io/clear
